ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Popularity
2XA1O0SxhpCoTcssxHkbaH,0.943,0.734,8,-4.963,1,0.0726,0.204,0.000366,0.291,0.549,127.012,141732,4,2019,10
4UCxJssdyskC2vMvbcrheM,0.495,0.617,1,-9.396,0,0.0328,0.00513,0.000693,0.127,0.194,119.935,261000,4,2016,26
6aC1SUjlngcdR0M0YbZUf5,0.635,0.984,7,-8.818,1,0.0627,0.0042,0.847,0.117,0.127,133.001,359773,4,2019,38
5pUudDDuJgIpgKIGk2zmxv,0.574,0.859,1,-2.401,1,0.193,0.195,0,0.416,0.828,171.392,152246,4,2018,56
3AnoLaO8vB0xWkh7PD5bKG,0.496,0.754,4,-5.48,0,0.32,0.00321,0,0.259,0.749,153.118,313680,4,2009,23
1iDPB2WNsGEWuKycQyDGn6,0.914,0.415,1,-7.219,1,0.322,0.027,0,0.114,0.496,137.974,125217,4,2017,45
0baNzeUcPQnQSagpe8T0mD,0.577,0.387,7,-8.607,1,0.274,0.964,0.705,0.208,0.459,146.565,126312,1,2018,78
6p8FcYD1qR4e3gbunwQjXH,0.796,0.602,8,-8.033,1,0.252,0.043,0,0.105,0.612,210.052,153145,4,2020,46
50rO1T1hHJD70uRjX1uthz,0.675,0.631,7,-7.721,1,0.359,0.219,0,0.635,0.653,180.091,151327,4,2017,48
0YkJU6TjjwzsVXUPRIO0DB,0.607,0.599,11,-6.886,1,0.0995,0.33,0,0.199,0.562,172.982,253573,4,2007,62
3YoijmYjJauAiIOmfGAdmr,0.469,0.958,6,-8.127,0,0.128,0.0171,0.634,0.396,0.292,138.001,230435,4,2019,25
28bbsfhXB7EzNeX2upNjKV,0.728,0.964,0,-0.235,1,0.171,0.0849,0,0.0801,0.483,171.052,127803,4,2019,28
1grwZ6KpPtvWd71nuhkiCi,0.545,0.99,1,-1.051,1,0.378,0.0817,0,0.614,0.32,181.805,105449,4,2019,20
2kgEHBhtGnoiyKD4Myp4VE,0.796,0.833,1,-11.024,1,0.0683,0.000837,0.887,0.107,0.261,129.993,369741,4,2017,11
5uLo7y0iqCzWEiox6aKJ24,0.523,0.867,9,-3.397,1,0.225,0.0406,3.81E-06,0.384,0.495,114.422,127687,4,2017,44
